Profil,Missions ouvertes,Consultants disponibles,Taux réponse client,Délai closing moyen,Nombre candidatures
Senior Software Engineer,4.0,2.0,50%,7 jours,5.0
Senior Security Engineer,2.0,1.0,45%,10 jours,3.0
Senior Product Designer,3.0,2.0,60%,5 jours,8.0
Senior Data Analyst Marketing,5.0,1.0,55%,8 jours,6.0
DevOps,6.0,4.0,65%,6 jours,12.0
Chef de projet AMOA,3.0,2.0,40%,14 jours,4.0
Product Owner,5.0,5.0,50%,9 jours,7.0
Data Architecte,2.0,1.0,35%,12 jours,2.0
Tech Lead Data,2.0,1.0,55%,7 jours,5.0
Architecte technique AWS,3.0,2.0,60%,6 jours,9.0
Architecte Cloud,2.0,2.0,58%,8 jours,6.0
Data Engineer,4.0,3.0,52%,9 jours,8.0
Développeur fullstack,7.0,5.0,62%,5 jours,15.0
QA Testeur,4.0,4.0,48%,11 jours,7.0
Ingénieur test et validation,5.0,6.0,44%,13 jours,9.0
Project Manager,3.0,3.0,46%,10 jours,5.0
SRE,2.0,2.0,55%,8 jours,4.0
ML Engineer,2.0,1.0,42%,15 jours,3.0
Data Analyst,3.0,2.0,58%,7 jours,6.0
Ingénieur Support,3.0,3.0,51%,9 jours,5.0
Développeur mobile,2.0,2.0,53%,8 jours,4.0
Scrum Master,2.0,1.0,47%,12 jours,3.0
